day,count
2020-10-09,682
2020-10-10,890
2020-10-11,16
2020-10-13,59
2020-10-14,179
2020-10-16,184
2020-10-17,61
2020-10-18,46
2020-10-19,162
2020-10-20,342
2020-10-21,132
2020-10-22,102
2020-10-23,9
2020-10-24,6
2020-10-25,9
2020-10-26,60
2020-10-27,151
2020-10-30,194
2020-10-31,112
2020-11-02,44
2020-11-03,143
2020-11-04,14
2020-11-07,7
2020-11-08,134
2020-11-09,605
2020-11-10,136
2020-11-11,662
2020-11-12,22
2020-11-13,831
2020-11-14,835
2020-11-15,20
2020-11-16,48
2020-11-17,14
2020-11-18,130
2020-11-19,21
2020-11-20,8
2020-11-21,251
2020-11-22,9
2020-11-23,49
2020-11-27,8
2020-11-28,109
2020-11-29,95
2020-11-30,36
2020-12-02,100
2020-12-03,54
2020-12-04,127
2020-12-05,41
2020-12-06,1
2020-12-07,12
2020-12-14,18
2020-12-25,37
2020-12-26,198
2020-12-28,97
2021-01-05,5
2021-01-08,35
2021-01-26,7
2021-01-27,31
2021-01-28,8
2021-02-03,3
2021-02-04,1
2021-02-06,337
2021-02-08,1187
2021-02-10,2
2021-02-12,4
2021-02-21,350
2021-02-22,271
2021-02-23,32
2021-02-24,1069
2021-03-04,3
2021-12-31,4
2022-01-01,2
2022-02-15,9
2022-02-22,3
2022-02-28,1
2022-03-09,53
2022-03-25,111
2022-04-04,1
2022-04-11,11
2022-04-12,3
2022-04-17,14
2022-04-18,28
2022-04-21,3
2022-04-22,79
2022-04-23,14
2022-04-26,1
2022-04-28,50
2022-05-05,63
2022-05-10,8
2022-05-12,12
2022-05-17,12
2022-05-23,10
2022-05-28,5
2022-06-01,4
2022-06-05,101
2022-06-06,162
2022-06-09,3
2022-06-11,3
2022-06-14,307
2022-06-15,58
2022-06-16,390
2022-06-17,449
2022-06-20,12
2022-06-21,195
2022-06-23,12
2022-06-24,73
2022-06-25,13
2022-06-29,168
2022-07-01,20
2022-07-06,19
2022-07-07,9
2022-07-10,288
2022-07-11,451
2022-07-13,3
2022-07-14,78
2022-07-15,7
2022-07-17,4
2022-07-20,217
2022-07-22,17
2022-07-31,69
2022-08-03,69
2022-08-05,15
2022-08-06,246
2022-08-07,277
2022-08-08,379
2022-08-09,62
2022-08-10,248
2022-08-17,30
2022-08-19,7
2022-08-20,180
2022-08-21,33
2022-08-26,49
2022-08-27,226
2022-08-28,55
2022-08-30,3
2022-09-01,18
2022-09-07,3
2022-09-08,7
2022-09-09,1
2022-09-10,6
2022-09-11,16
2022-09-14,6
2022-09-15,11
2022-09-16,7
2022-09-19,28
2022-09-20,1
2022-09-21,38
2022-09-22,2
2022-09-23,13
2022-09-27,28
2022-09-28,24
2022-10-01,432
2022-10-02,168
2022-10-03,139
2022-10-04,150
2022-10-05,160
